,artist,title,mood,lyrics,genre
11,The Clientele,Impossible,relaxed,"[Intro]
There’s a place that we can go
At the end of a long slow day
Streetlamps fuse the rising night
I feel so far away

[Verse 1]
When you came back late, from the garden
I couldn’t turn my eyes
And I was dead

[Verse 2]
Outside in the crowded pines
Ships are sailing though the wood
Impossible

[Verse 3]
Leaving in the space between
The Hovis homes, the railway heath
Impossible

[Verse 4]
I can see my freedom but I need a little time
Your hair wet and your arms full
You were dead, you were alive
[Verse 5]
Looking in the heart of light
Looking into the silence
From those nights so frigid

[Verse 6]
They seemed hardly real
Through the last light on the plain
Roland to the dark tower came

[Outro]
Weialala leia
Weialala leia
Impossible
Impossible
ImpossibleEmbedShare URLCopyEmbedCopy",rock
12,The Tallest Man on Earth,Love Is All,sad,"[Verse 1]
Well I walk upon the river like it's easier than land
Evil's in my pocket and your will is in my hand
Oh, your will is in my hand
And I'll throw it in the current that I stand upon so still
Love is all, from what I've heard, but my heart's learned to kill
Oh, mine has learned to kill

[Chorus]
Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go

[Verse 2]
And now spikes will keep on falling from the heavens to the floor
The future was our skin and now we don't dream anymore
No, we don't dream anymore

Like a house made from spider webs and the clouds rolling in
I bet this mighty river's both my savior and my sin
Oh, my savior and my sin

[Chorus]
Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go
[Verse 3]
Well I walk upon the river like it's easier than land
Evil's in my pocket and your strength is in my hand
Your strength is in my hand

And I'll throw you in the current that I stand upon so still
Love is all, from what I've heard, but my heart's learned to kill
Oh, mine has learned to kill

[Chorus]
Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go7EmbedShare URLCopyEmbedCopy",folk/acoustic
13,Garbage,Silence Is Golden,angry,"[Verse 1]
If I am silent, then I am not real
If I speak up, then no one will hear
If I wear a mask, there's somewhere to hide

[Chorus 1]
Silence is golden
I have been broken
Safe in my own skin
So nobody wins

[Verse 2]
If I raise my voice, will someone get hurt?
And if I can't feel, then I won't get touched
If no truths are spoken, then no lies can hide

[Chorus 2]
Silence is golden
I have been broken
Safe in my own skin
So nobody wins
Silence is golden
Nobody gets in
Safe in my own skin
So nobody wins
[Bridge]
Did you hear me speak?
Do you understand?
Did you hear my voice?
Will you hold my hand?
Do you understand me?

[Outro]
Won't someone listen?
Nobody gets in
My body's a temple
But nothing is simple
Silence is golden
I have been broken
Something was stolen
Safe in my own skin
Safe in my own skin
Won't someone listen?
My body's a temple
But nothing is simple
My body's a temple
But nothing is simple
Something was stolen
I have been broken
I have been broken
Silence is golden
I have been broken
Safe in my own skinEmbedShare URLCopyEmbedCopy",rock
14,Van Morrison,And It Stoned Me,relaxed,"[Verse 1]
Half a mile from the county fair
And the rain came pourin' down
Me and Billy standin' there
With a silver half a crown
Hands are full of fishin' rods
And the tackle on our backs
We just stood there gettin' wet
With our backs against the fence

[Pre-Chorus 1]
Oh, the water
Oh, the water
Oh, the water
Hope it don't rain all day

[Chorus]
And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like going home
And it stoned me

[Verse 2]
And the rain let up
And the sun came up
And we were gettin' dry
Almost let a pick-up truck
Nearly pass us by
So we jumped right in
And the driver grinned
And he dropped us up the road
And we looked at the swim
And we jumped right in
Not to mention fishing poles
[Pre-Chorus 2]
Oh, the water
Oh, the water
Oh, the water
Let it run all over me

[Chorus]
And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like going home
And it stoned me

[Instrumental Verse]
2:12 - 2:53

[Verse 3]
On the way back home
We sang a song
But our throats were getting dry
Then we saw the man
From across the road
With the sunshine in his eyes
Well he lived all alone
In his own little home
With a great big gallon jar
There were bottles too
One for me and you
And he said ""Hey! There you are""
[Pre-Chorus 3]
Oh, the water
Oh, the water
Oh, the water
Get it myself from the mountain stream

[Chorus]
And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like going home
And it stoned me

[Chorus]
Well it stoned me to my soul
Stoned on me just like Jelly Roll
And it stoned me
Well it stoned me to my soul
Stoned me just like going home
And it stoned meEmbedShare URLCopyEmbedCopy",rock
15,The Proclaimers,I'm On My Way,happy,"I'm on my way from misery to happiness today
Ah-hah (ah-hah) ah-hah (ah-hah)
I'm on my way from misery to happiness today
Ah-hah (ah-hah) ah-hah (ah-hah)

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I took a right, I took a right turning yesterday
Ah-hah (ah-hah) ah-hah (ah-hah), yeah
I took a right, I took a right turning yesterday
Yeah yeah yeah yeah

I took the road that brought me to your home town
I took the bus to streets that I could walk down
I walked the streets to find the one I'd looked for
I climbed the stair that led me to your front door

And now that I don't want for anything
I'd have Al Jolson sing I'm sitting on top of the world

I'll do my best, I'll do my best to do the best I can
Ah-hah (ah-hah) ah-hah (ah-hah), yeah
I'll do my best, I'll do my best to do the best I can
Ha-ah ha-ah ha-ah ha-ah
To keep my feet from jumping from the   ground, dear
To keep my heart from jumping through my mouth, dear
To keep the past, the past and not the present
To try and learn when you teach me a lesson

And now that I don't want for anything
I'd have Al Jolson sing I'm sitting on top of the world

I'm on my way from misery to happiness today
Ah-hah (ah-hah) ah-hah (ah-hah)
I'm on my way from misery to happiness today
Yeah yeah yeah yeah

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

[Outro]
I'm on my way
I'm on my way
I'm on my way
I'm on my way
I'm on my way
I'm on my way
(fade...)1EmbedShare URLCopyEmbedCopy",world/traditional
16,50 Cent,My Gun Go Off,angry,"[Produced by Adam Deitch & Eric Krasno]

[Hook]
Nigga, my gun go off - you see the barrel turning
You feel the hollows burning, nigga, now you're learning
Nigga, my gun go off - call it attempted murder
Nigga, I'm trying to murk you when I come back busting
Nigga, my gun go off - don't try to say I'm tripping
When I get to flipping and I smack the clip in
Nigga, my gun go off - we call it putting work in
Leaving niggas hurting, homicide's lurking
Nigga, my gun go off

[Verse 1]
Fuckboy, you can see it to believe it
Try to dodge and weave it, end up a paraplegic
Believe me, its easy, I'll hurt you, I'll murk you
I'll pop something, drop something, I ain't going to stop hunting
Run, run, 'til you're spun, one shot, one gun
One 911 emergency, it's murder, B
It's excellent execution when I'm pulling the trigger
No mistake for that cake, I'm hitting you and your niggas
Feel the flame when I aim for the top of your brain
See the spark and the bang, nigga, shit ain't a game
Do the math or get blast, bullets go through the glass
Goes through your ass fast and the leather seat in your Nav
Nigga, its not a war when there's casualties on one side, I ride
Turn it up on you nigga after Jake ride by
I click-clack, that's that, I don't flash, I mash
I wave the Uzi at them, I make a movie out them
[Hook]
Nigga, my gun go off - you see the barrel turning
You feel the hollows burning, nigga, now you're learning
Nigga, my gun go off - call it attempted murder
Nigga, I'm trying to murk you when I come back busting
Nigga, my gun go off - don't try to say I'm tripping
When I get to flipping and I smack the clip in
Nigga, my gun go off - we call it putting work in
Leaving niggas hurting, homicide's lurking
Nigga, my gun go off

[Verse 2]
You better lose yourself in the moment
Use it, fuck the music, I'mma let it go
You only get one shot before I back out and fire back
At your hat, your back, your ass crack, your nutsack
Your Cadillac, if you make it to that, I'm hitting that
The 70's was smack, the 80's crack
The 90's was grimy, millennium MACs, man
Clips on the whips I ride in them, bad bitches, I ride in them
Don't worry, I'll get them, gat's jammed or unjammed
God damn safest the safety don't work, squeeze the eagle, it chirps
End up faced down in the dirt more than hurt
Bring the beef where you hang out, bang out, shots ring out
Hit your shoulders trying to blow your brains out
Hit your homies in their legs, bet they have their canes out tomorrow
You know tomorrow's just a day away
If you can keep your heart beating, then your ass awake
[Hook]
Nigga, my gun go off - you see the barrel turning
You feel the hollows burning, nigga, now you're learning
Nigga, my gun go off - call it attempted murder
Nigga, I'm trying to murk you when I come back busting
Nigga, my gun go off - don't try to say I'm tripping
When I get to flipping and I smack the clip in
Nigga, my gun go off - we call it putting work in
Leaving niggas hurting, homicide's lurking
Nigga, my gun go off4EmbedShare URLCopyEmbedCopy",hip hop
17,Collie Buddz,Mamacita,happy,"[Verse 1]
Man tend a next shot of tequila
The vibes tonight yeah, so sweet yah
I man spot this sweet senorita
We a bounce to the bass and di tweeter
She look, muy bonita
The way she move remind me of Selena

[Bridge]:
She rock so, she dip so
She wanna dance to reggae and calypso
Look how the dress hug up pon her hips so
Look how she move fast and a do it slow
Muy bonita
Mamacita

[Hook]:
Gal whine let me come behind yuh
Eh! Me make she feel alright
Woulda dance all night if yuh want to
Eh! 'Till a mornin light
Love how you feel in front a me so
Gal, let me hold you tight

[Verse 2]
Look deh, a pure death in the arena
Number one gal, prima ballerina
Little girl, how u fi come in here
She nuh drink, only smoke sensimilla
She look, muy bonita
You nuh see it, that a my Mona Lisa
[Bridge]

[Hook] (x2)

[Verse 1]

[Bridge]

[Hook] (x2)3EmbedShare URLCopyEmbedCopy",world/traditional
18,Avenged Sevenfold,Coming Home,angry,"[Verse 1]
I've been away, searching for a reason
Another purpose to find
I've sailed the seas, fought my many demons
I've looked to gods in the skies
I've stood in hell, where many had to suffer
I stared the devil in the eyes
Walked many roads to witness ancient idols
And found the great gates of fire

[Verse 2]
Had many storms, question my conviction
Gave armies reason to rise
The hangman's searching, for bones he can borrow
While I escaped in the night, fight or flight

[Chorus]
Live again, all roads end
I'll be coming home
Tend your light, 'cause on this night
I'll be coming home

[Verse 3]
Escaped the hail of calculated mortars
Then drank the blood of a king
The desert rain has washed away direction
Had angels looking after me
So it seems
[Chorus]
Live again, all roads end
I'll be coming home
Tend your light, 'cause on this night
I'll be coming home

[Verse 4]
My story ends, not far from where it started
My weary limbs have grown old
I've seen the world through the eyes of a nomad
Home is where the heart is I've been told
So I go

[Chorus]
Live again, all roads end
I'll be coming home
Tend your light, 'cause on this night
I'll be coming home

[Outro]
I'm coming home
I'm coming home
I'm coming home
I'm coming home4EmbedShare URLCopyEmbedCopy",metal
19,Avril Lavigne,How Does It Feel,sad,"[Verse 1]
I'm not afraid of anything
I just need to know that I can breathe
I don't need much of anything
But suddenly, suddenly
I am small and the world is big
All around me is fast moving
Surrounded by so many things
Suddenly, suddenly

[Chorus]
How does it feel to be
Different from me?
Are we the same?
How does it feel to be
Different from me?
Are we the same?
How does it feel?

[Verse 2]
I am young and I am free
But I get tired and I get weak
I get lost and I can't sleep (I can't sleep)
But suddenly, suddenly

[Chorus]
How does it feel to be (To be)
Different from me?
Are we the same?
How does it feel to be (To be)
Different from me?
Are we the same?
How does it feel?
[Bridge]
Would you comfort me?
Would you cry with me?
Ah-ah-ah, ah-ah
Ah-ah, ah-ah
Ah-ah-ah, ah-ah
Ah-ah, ah-ah
I am small and the world is big
But I'm not afraid of anything

[Chorus]
How does it feel to be (To be)
Different from me?
Are we the same?
How does it feel to be (To be)
Different from me?
Are we the same?

[Chorus]
How does it feel to be (To be)
Different from me?
Are we the same?
How does it feel to be (To be)
Different from me?
Are we the same?
[Post-Chorus]
Ah-ah-ah, ah-ah, ah-ah
Ah-ah-ah, ah-ah, ah-ah

[Outro]
How does it feel? How does it feel?
You're different from me, different
How does it feel? How does it feel?
You're different from me, different
How does it feel? How does it feel?
You're different from me, different
How does it feel? How does it feel?
You're different from me3EmbedShare URLCopyEmbedCopy",pop
20,The Streets,Never Went to Church,sad,"[Intro: Mike Skinner]
Two great European narcotics, alcohol and Christianity
I know which one I prefer

[Chorus: Mike Skinner, Laura Vane & The Wayne Hart Singers]
We never went to church
Just get on with work and sometimes things'll hurt
But it's hit me since you left us
And it's so hard not to search
If you were still about
I'd ask you what I'm supposed to do now
I just get a bit scared every now
I hope I made you proud

[Verse 1: Mike Skinner]
On your birthday when mum passed the forks and spoons
I put my head on the table, I was so distraught with you
You tidied your things into the bin the more poorly you grew
So there's nothing of yours to hold or to talk to
You put your hand up and interrupt the conversation with a ""But""
People say I interrupt people with the same look
Sometimes I think so hard, I can't remember how your face looked
Started reading about dreams in your favourite book
I panic and pace when I can't see the right thing to do
You'd be scratching your head through the best advice you knew
And I feel sad I can't hear you reciting it through
I miss you, Dad, but I've got nothing to remind me of you
[Chorus: Mike Skinner, Laura Vane & The Wayne Hart Singers]
We never went to church
Just get on with work and sometimes things'll hurt
But it's hit me since you left us
And it's so hard not to search
If you were still about
I'd ask you what I'm supposed to do now
I just get a bit scared every now
I hope I made you proud

[Verse 2: Mike Skinner]
I needed a break when your book about dreams was taken
I needed to pray or see a priest that day
I needed to leave this trade and just heave it away
But I cleaned up my place like you so I could see things straight
I never cared about God when life was sailin' on the calm
So I said I'd get my head down
And I'd deal with the ache in my heart
And, for that, if God exists, I'd reckon he'd pay me regard
Mum says me and you are the same from the start
I guess, then, you did leave me something to remind me of you
Every time I interrupt someone like you used to
When I do something like you, you'll be on my mind all through
'Cause I forgot you left me behind to remind me of you

[Chorus: Mike Skinner, Laura Vane & The Wayne Hart Singers]
We never went to church
Just get on with work and sometimes things'll hurt
But it's hit me since you left us
And it's so hard not to search
If you were still about
I'd ask you what I'm supposed to do now
I just get a bit scared every now
I hope I made you proud
We never went to church
Just get on with work and sometimes things'll hurt
But it's hit me since you left us
And it's so hard not to search
But you, you still tell me how you didn't know
What to do, even now
And then I'm not so scared somehow
'Cause I know that you'd be proud
[Outro: Mike Skinner]
I got a good one for you, Dad
I'm gonna see a priest, a Rabbi and a Protestant clergyman
You always said I should hedge my bets1EmbedShare URLCopyEmbedCopy",hip hop
21,Geto Boys,Chuckie,angry,"[Verse 1: Bushwick Bill]
I told you size wasn't shit, that's why I murdered your nieces
Wasn't my fault they found they head cut in 88 pieces
Don't let 'em run, hurry up and catch 'em
You grab an arm, I grab an arm let's pull 'till we stretch 'em
Play pussy, get fucked means you're better off dead
I wanted seafood so I fished in a child’s head
Motherfuckers beware cause I'm sick
Dead heads and frog legs, mmm... cake mix!
Friday the 13th the night of the living dead
Vampire arms walkin' 'round givin niggas head
If you didn't die, I would say you got lucky
All bodies found dead, fuck it, blame it on Chuckie
But this is child's play... motherfucka!!!

[Verse 2: Bushwick Bill]
Aw, fuck, Chuck's on a killin' spree
Gimme some barb and I'll start by killin me
When I murder, I tried to slack off
Now 100 missiles blew a little girl's back off
My name is Chuckie, some say I'm insane
You give me some gin, and I might eat a dog's brain
Give me a motherfuckin 15-pack
And I'll be damned if I don't bring 15 dead niggas back
A murder contest, you know I'll win it
Cause in every mailbox, there be a head with a knife in it
I'm gettin' hungry, I need to be fed
I feel like eatin' a bag of barbequed broke legs
Bustin' necks with a motherf*ckin' brick!
Half my body is Chuckie, the other half is Bushwick
A short nigga always pumpin' some lead
I haven't figured out a way to get my fist out your forehead
What up? Get up, sit up, you get lit up
A knife in his neck made a polar bear spit up
A 9, a Uzi is my only utensil
Inside his chest they found 10,000 pencils
You have the nerve to go against Chuck?
With fifty guns aimed at you, how the fuck you gonna duck, yo?
When I'm mad, I'm ready to slay
The graveyards are packed but it ain't nothin' but child's play
[Verse 3: Bushwick Bill]
You'd better murder me, put me to rest
Cause if you don't I'll come out shootin' with my head in a bird's chest
Pissed off, the way I'm always soundin'
Killed a punk in '82, and they just now found 'im
Some say I'm crazy, some say I'm on crack
Before I die cut off my leg and let me die in Iraq
A born loser, some say I'm mindless
If I get pissed off, you leave naked and spineless
Worse than Charles Manson, never havin' a equal
Went sleepwalking last night and killed 300 people
When I woke up they had me chained to the floor
When they told me what I did I killed 300 more, yo
You wanna rumble? Then go get your war hat
I went to jail for assault with a carjack
I might be small but my nuts are big
The worst thing that you could do is let me keep your fuckin' kids
Cause I'ma teach 'em how to act
And if they ain't actin' right, they dyin' tonight
So, uh, ain't no use in you tryin' to spot 'em
I send you a motherfuckin' note that says ""Chuckie's got em!""EmbedShare URLCopyEmbedCopy",hip hop
22,David Sylvian,September,relaxed,"[Verse]
The sun shines high above
The sounds of laughter
The birds swoop down upon
The crosses of old grey churches
We say that we're in love
While secretly wishing for rain
Sipping Coke and playing games
September's here again
September's here againEmbedShare URLCopyEmbedCopy",new age
23,Demon Hunter,The Tide Began To Rise,sad,"[Verse 1]
I don't belong here
I never saw this on the path I walk
The blood-stained walls, the lines of chalk on the floor
It's getting so hard
I never saw the backlash when the tide began to rise
I can't remember
The way it was when everything felt right
My mouth held shut and eyes sealed tight with control

[Chorus]
So I remember on the inside
(I found) A dark infernal place I don't want to face any more
(Somehow) I won't stop feeding the pain, my heart's just the same as before
(I found) A dark infernal place I don't want to face any more
And somehow...

[Verse 2]
So now I'm stuck here
Between the guilty and the insincere
The words I've spoke have left me here all alone
I should have known this
I never saw the backlash when the tide began to rise
I wish it all gone
I could have burned it when I had that choice
Now I'd die to kill this noise in my head
[Chorus]
So I remember on the inside
(I found) A dark infernal place I don't want to face any more
(Somehow) I won't stop feeding the pain, my heart's just the same as before
(I found) A dark infernal place I don't want to face any more
And somehow...

[Bridge]
So I remember on the inside, the inside

[Outro]
If this is all the love my spirit can give
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to live
If this is all the love my spirit can give
(Just take it back tonight)
There is not a reason more to liveEmbedShare URLCopyEmbedCopy",metal
24,Lily Holbrook,Better Left Unsaid,sad,"You can cut my heart in sections
And I'll show you no objection
Cause it's better than being alone
It's better than being alone
And there's a strange elation
In your subtle assassination
I thought I saw a glimmer of hope
I thought I saw a glimmer of hope

But I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)

I could stay here in the middle
And speak to you in riddles
But I'd rather just feel the burn
I'd rather feel the burn
So you can strike me with your matches
And scatter me like ashes
Your little angel playing in your dirt
But I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)

Some things I keep to myself
Some things are better left unsaid
And sometimes I feel like this could break me in half
Still some things I'll never, ever tell

But I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)
I don't think that you could ever understand
(And the rain keeps falling down)

And I will let you chain me down for a while
And I will let you wear my crown for a whileEmbedShare URLCopyEmbedCopy",folk/acoustic
25,Creed,Illusion,angry,"[Verse 1]
The sun rises to another day
My constitution keeps changing till it slips away
So I lie awake and stare
My mind thinking, just wondering does anybody care

[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?

[Verse 2]
Sitting in my room now
Hiding thoughts, just hoping one day I'll get out
I hear a voice call my name
Breaking trance so silent, so I can stay the same

[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?

[Verse 3]
Wait now, many things are left unsaid
This life remains the same but I change
I try to fool myself in believing
Things are going to get better but life goes on
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?

[Outro]
Just an illusion
Just an illusion
Just an illusion
Just an illusion
Just an illusion1EmbedShare URLCopyEmbedCopy",metal
26,Egotrippi,Matkustaja,sad,"Yöllä linja-autossa yksi väsynyt matkustaja
Huuruisesta ikkunasta katsoo vaihtuvat maisemat
Laskee vastaantulijat, pysäkit kun ohi vilahtavat
Tietäen niistä mikä tahansa oisi voinut olla
Se oikea

Asemalta kaikuivat kuulutukset
Kutsuna jota pakoon ei pääse
Nouset kyytiin kerran, oot kyydissä aina

Aina matkalla jonnekin, minne ikinä päätyykin
On puolitiessä jostain, tietää sen varsin hyvin itsekin
On olemassa asioita niin kipeitä ja vaikeita
Ettei niistä puhumalla selviä

Asemalta kaikuivat kuulutukset
Kutsuna jota pakoon ei pääse
Nouset kyytiin kerran, oot kyydissä aina
Aina, aina

Yöllä linja-autossa yksi väsynyt matkustaja

Asemalta kaikuivat kuulutukset
Kutsuna jota pakoon ei pääse
Nouset kyytiin kerran, oot kyydissä aina
Asemalta kaikuivat x 3
Oot kyydissä aina
AinaEmbedShare URLCopyEmbedCopy",pop
